2018-06-28 09:04:30,641 [1] INFO  ZXClient.Program - 程序已启动
2018-06-28 09:04:30,991 [1] INFO  ZXClient.Updater.AutoUpdater - 开始升级
2018-06-28 09:04:31,188 [1] INFO  ZXClient.Updater.AutoUpdater - 检测到升级文件2个
2018-06-28 09:04:33,390 [1] INFO  ZXClient.Program - 服务器地址:http://111.230.14.84:8080/
2018-06-28 09:04:33,390 [1] INFO  ZXClient.Program - 服务器IP:111.230.14.84
2018-06-28 09:04:33,390 [1] INFO  ZXClient.Program - 服务器端口:8080
2018-06-28 09:04:33,390 [1] INFO  ZXClient.Program - 评价器IP:192.168.1.123
2018-06-28 09:04:33,390 [1] INFO  ZXClient.Program - 连接类型:USB连接
2018-06-28 09:04:33,391 [1] INFO  ZXClient.Program - FTP:, , , 
2018-06-28 09:04:37,372 [8] INFO  ZXClient.WorkForm - 检测到USB设备,可以进行端口转发了.
2018-06-28 09:04:37,872 [8] INFO  ZXClient.WorkForm - 设备端口8000重定向到本地端口8011
2018-06-28 09:04:38,073 [8] INFO  ZXClient.WorkForm - USB端口转发了,可以发送数据包了.
2018-06-28 09:04:38,080 [8] INFO  ZXClient.WorkForm - USBSendData:S99||0||E
2018-06-28 09:04:38,080 [8] INFO  ZXClient.WorkForm - (USB)发送内容：S99||0||E
2018-06-28 09:04:38,225 [8] INFO  ZXClient.WorkForm - S99||0||EFalse接收数据:RecvCmdOKS99||8||CCB8A8DB14F8||0||0||80||85||8||E
2018-06-28 09:04:38,225 [8] INFO  ZXClient.WorkForm - S99||0||E------------------:RecvCmdOK
2018-06-28 09:04:38,225 [8] INFO  ZXClient.WorkForm - S99||0||E------------------:S99||8||CCB8A8DB14F8||0||0||80||85||8||E
2018-06-28 09:04:38,225 [8] INFO  ZXClient.WorkForm - 设备连接心跳:成功
2018-06-28 09:04:38,225 [8] INFO  ZXClient.WorkForm - 获取设备mac地址:CCB8A8DB14F8，设备资源版本号：8，设备更新资源版本号：8
2018-06-28 09:04:38,229 [8] INFO  ZXClient.util.HttpUtil - 接口请求:http://111.230.14.84:8080/employeeHeart.action?mac=CCB8A8DB14F8&cardNum=1
2018-06-28 09:04:38,314 [8] INFO  ZXClient.util.HttpUtil - 接口请求结果:online
2018-06-28 09:04:38,314 [8] INFO  ZXClient.WorkForm - 2018/6/28 9:04:38心跳：onlineCCB8A8DB14F8
2018-06-28 09:04:38,315 [8] INFO  ZXClient.WorkForm - 设备连接成功
2018-06-28 09:04:38,315 [8] INFO  ZXClient.WorkForm - USBSendData:S99||0||E
2018-06-28 09:04:38,315 [8] INFO  ZXClient.WorkForm - (USB)发送内容：S99||0||E
2018-06-28 09:04:38,433 [8] INFO  ZXClient.WorkForm - S99||0||EFalse接收数据:RecvCmdOKS99||8||CCB8A8DB14F8||0||0||80||85||8||E
2018-06-28 09:04:38,433 [8] INFO  ZXClient.WorkForm - S99||0||E------------------:RecvCmdOK
2018-06-28 09:04:38,433 [8] INFO  ZXClient.WorkForm - S99||0||E------------------:S99||8||CCB8A8DB14F8||0||0||80||85||8||E
2018-06-28 09:04:38,433 [8] INFO  ZXClient.WorkForm - 获取设备mac地址:CCB8A8DB14F8，设备资源版本号：8，设备更新资源版本号：8
2018-06-28 09:04:38,438 [8] INFO  ZXClient.util.HttpUtil - 接口请求:http://111.230.14.84:8080/employeeGetInfo.action?cardnum=1
2018-06-28 09:04:38,491 [8] INFO  ZXClient.util.HttpUtil - 接口请求结果:{"Id":51,"deptid":230475,"Name":"李四","Sex":"1","job_desc":"总管","CardNum":"1","PassWord":"49BA59ABBE56E057","birthday":null,"Phone":"","beginWorkTime":null,"picture":"","remark":"","ext1":null,"ext2":"1","showDeptName":"","showWindowName":"","companyName":"","ext3":"","ext4":"","isonline":1,"onlinetime":{"date":28,"day":4,"hours":9,"minutes":2,"month":5,"nanos":133000000,"seconds":41,"time":1530147761133,"timezoneOffset":-480,"year":118},"deptName":"测试大厅","star":"2"}
2018-06-28 09:04:38,945 [8] INFO  ZXClient.util.HttpUtil - 接口请求:http://111.230.14.84:8080/employeeInfoSetDownload
2018-06-28 09:04:39,145 [8] INFO  ZXClient.WorkForm - USBSendData:S04||1|name,姓名,李四|jobDesc,职务,总管|jobNum,工号,1|star,星级,2||E
