2021-04-21 16:20:03,884 [1] INFO  ZXClient.util.Tools - 销毁进程adb没有找到进程
2021-04-21 16:20:03,903 [1] INFO  ZXClient.Program - 程序已启动
2021-04-21 16:20:15,282 [1] INFO  ZXClient.util.Tools - 重启时监听端口释放失败:未将对象引用设置到对象的实例。
2021-04-21 16:20:19,006 [1] INFO  ZXClient.util.Tools - 销毁进程adb没有找到进程
2021-04-21 16:20:25,528 [1] INFO  ZXClient.util.HttpUtil - http://192.168.1.199:8082/employeeLogin.action?cardnum=1&psw=49BA59ABBE56E057
2021-04-21 16:20:25,660 [1] INFO  ZXClient.util.HttpUtil - 请求结果：loginSuccess
2021-04-21 16:20:25,660 [1] INFO  ZXClient.LoginWindow - 登录结果：　loginSuccess
2021-04-21 16:20:25,681 [1] INFO  ZXClient.util.HttpUtil - http://localhost:9107/Login?UserID=1
2021-04-21 16:20:29,312 [10] INFO  ZXClient.util.Tools - 端口监听成功
2021-04-21 16:20:29,312 [10] INFO  ZXClient.util.Tools - 网络方式--心跳
2021-04-21 16:20:29,313 [13] INFO  ZXClient.util.Tools - 开始监听（UDP）评价器返回数据，端口：7791,True
2021-04-21 16:20:37,912 [8] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：S95OK
2021-04-21 16:20:37,912 [13] INFO  ZXClient.util.Tools - 评价器返回：S95OK
2021-04-21 16:20:38,395 [13] INFO  ZXClient.util.Tools - 评价器返回：S98OK
2021-04-21 16:20:38,395 [13] INFO  ZXClient.util.Tools - 连接评价器成功！
2021-04-21 16:20:38,511 [13] INFO  ZXClient.util.Tools - 评价器返回：S04OK
2021-04-21 16:20:38,511 [13] INFO  ZXClient.util.Tools - 登录成功!
2021-04-21 16:20:38,941 [13] INFO  ZXClient.util.Tools - 评价器返回：S04OK
2021-04-21 16:20:38,941 [13] INFO  ZXClient.util.Tools - 登录成功!
2021-04-21 16:20:42,077 [9] INFO  ZXClient.util.Tools - 暂停结果:
2021-04-21 16:20:42,079 [13] INFO  ZXClient.util.Tools - 评价器返回：S03OK
2021-04-21 16:20:47,918 [8] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：S95OK
2021-04-21 16:20:47,924 [13] INFO  ZXClient.util.Tools - 评价器返回：S95OK
2021-04-21 16:20:48,830 [13] INFO  ZXClient.util.Tools - 评价器返回：S06OK
2021-04-21 16:20:48,832 [15] INFO  ZXClient.util.Tools - 暂停结果:
2021-04-21 16:20:50,716 [16] INFO  ZXClient.util.Tools - 呼叫号码结果:System.Collections.Generic.Dictionary`2[System.String,System.String]
2021-04-21 16:20:50,786 [13] INFO  ZXClient.util.Tools - 评价器返回：S01OK
2021-04-21 16:20:57,953 [13] INFO  ZXClient.util.Tools - 评价器返回：S95OK
2021-04-21 16:20:57,953 [15] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：S95OK
2021-04-21 16:21:15,981 [16] INFO  ZXClient.util.Tools - UDP发送失败未将对象引用设置到对象的实例。
2021-04-21 16:21:15,981 [15] INFO  ZXClient.util.Tools - UDP发送失败未将对象引用设置到对象的实例。
2021-04-21 16:21:15,981 [16] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：
2021-04-21 16:21:15,987 [15] INFO  ZXClient.util.Tools - 暂停结果:
2021-04-21 16:21:17,910 [8] INFO  ZXClient.util.Tools - UDP发送失败未将对象引用设置到对象的实例。
2021-04-21 16:21:17,910 [8] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：
2021-04-21 16:21:21,857 [8] INFO  ZXClient.util.Tools - 呼叫号码结果:System.Collections.Generic.Dictionary`2[System.String,System.String]
2021-04-21 16:21:21,902 [8] INFO  ZXClient.util.Tools - UDP发送失败未将对象引用设置到对象的实例。
2021-04-21 16:21:27,933 [9] INFO  ZXClient.util.Tools - UDP发送失败未将对象引用设置到对象的实例。
2021-04-21 16:21:27,933 [9] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：
2021-04-21 16:21:37,903 [8] INFO  ZXClient.util.Tools - UDP发送失败未将对象引用设置到对象的实例。
2021-04-21 16:21:37,904 [8] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：
2021-04-21 16:21:44,961 [9] INFO  ZXClient.util.Tools - 呼叫号码结果:System.Collections.Generic.Dictionary`2[System.String,System.String]
2021-04-21 16:21:45,039 [9] INFO  ZXClient.util.Tools - UDP发送失败未将对象引用设置到对象的实例。
2021-04-21 16:21:47,911 [17] INFO  ZXClient.util.Tools - UDP发送失败未将对象引用设置到对象的实例。
2021-04-21 16:21:47,911 [17] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：
2021-04-21 16:21:57,865 [15] INFO  ZXClient.util.Tools - UDP发送失败未将对象引用设置到对象的实例。
2021-04-21 16:21:57,865 [15] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：
2021-04-21 16:22:07,884 [17] INFO  ZXClient.util.Tools - UDP发送失败未将对象引用设置到对象的实例。
2021-04-21 16:22:07,884 [17] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：
2021-04-21 16:22:17,874 [15] INFO  ZXClient.util.Tools - UDP发送失败未将对象引用设置到对象的实例。
2021-04-21 16:22:17,874 [15] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：
2021-04-21 16:22:27,942 [9] INFO  ZXClient.util.Tools - UDP发送失败未将对象引用设置到对象的实例。
2021-04-21 16:22:27,943 [9] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：
2021-04-21 16:22:37,877 [8] INFO  ZXClient.util.Tools - UDP发送失败未将对象引用设置到对象的实例。
2021-04-21 16:22:37,877 [8] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：
2021-04-21 16:22:38,001 [17] INFO  ZXClient.util.Tools - 呼叫号码结果:System.Collections.Generic.Dictionary`2[System.String,System.String]
2021-04-21 16:22:38,028 [17] INFO  ZXClient.util.Tools - UDP发送失败未将对象引用设置到对象的实例。
